Printer_Setting_Log,

Log_file_name,PLOG0001.CSV,
Image_file_name,D:\DCIM\100_FUJI\DSCF0001.JPG,
MODEL,FI019,
Serial_number,3310117352,
Firmware_version,1.06,
Log_profile,1.00,
Print_Time,2024/10/19 09:36:41,
PH_Vendar,TP,
PH_Serial_No,4156A231160856,
PH_TYPE,ELPH_TYPE_PP2,
BrightnessFTNM_R,28,
BrightnessFTNM_G,31,
BrightnessFTNM_B,42,
BrightnessTPREF1NM_R,9,
BrightnessTPREF1NM_G,7,
BrightnessTPREF1NM_B,4,
BrightnessTPREF2NM_R,155,
BrightnessTPREF2NM_G,116,
BrightnessTPREF2NM_B,104,
BrightnessFT3D_R,28,
BrightnessFT3D_G,32,
BrightnessFT3D_B,42,
BrightnessTPREF13D_R,7,
BrightnessTPREF13D_G,5,
BrightnessTPREF13D_B,3,
BrightnessTPREF23D_R,151,
BrightnessTPREF23D_G,118,
BrightnessTPREF23D_B,113,
Exposure_R,500 nsec,
Exposure_G,500 nsec,
Exposure_B,500 nsec,
temperature,22.0,
3DLUT_enable,ON,
3DLUT_information,2021/07/01 ref3,
Double_density,OFF,
Print_Brightness,x1.0,
result,No Film PI,

Printer_Parameter_Log,
motor_duty:pri_usb,100,
motor_duty:rej_usb,100,
motor_duty:pri,100,
motor_duty:rej,100,
LNC_F_enable,1,
LNC_UH_centerPos,155,
LNC_UH_width_HI,30,
LNC_UH_width_LO,50,
LNC_UH_effectValue,250,250,250,
LNC_UH_referOffsetLine,4,
LNC_UH_referMovAveCnt,3,
LNC_UH_lastMovAveCnt,3,
LNC_UH_LoCutCoef,128,128,0,
LNC_SH_CorrLimMin,-2,
LNC_SH_CorrLimMax,2,
LNC_F_corrRvs,0,
LNC_F_halfEf,0,
LNC_UH_effectDelay,0,

Shading_Data_(_Adjust_Area_data_),
R     ,G     ,B     ,
 31591, 32262, 31179,
 29842, 32200, 31472,
 28665, 31472, 31063,
 29949, 31893, 31120,
 31472, 32138, 31063,
 29267, 31832, 31179,
 28470, 31237, 30948,
 30440, 32262, 31413,
 31179, 32138, 31005,
 29013, 31893, 31472,
 28863, 31771, 31591,
 30833, 32262, 31413,
 30777, 32138, 31063,
 28616, 31591, 31354,
 29064, 31893, 31651,
 31063, 32076, 30948,
 30330, 32324, 31472,
 28665, 31771, 31711,
 29165, 32015, 31591,
 31472, 32324, 31295,
 29736, 32138, 31354,
 28567, 31531, 31472,
 29631, 32200, 31591,
 31531, 32387, 31413,
 29631, 32324, 31893,
 28421, 31413, 31237,
 30111, 32513, 31711,
 31120, 32324, 31295,
 29114, 32015, 31711,
 28714, 31771, 31651,
 30385, 32262, 31237,
 30777, 32640, 31531,
 28714, 31711, 31472,
 28863, 31771, 31591,
 30948, 32513, 31531,
 30275, 32387, 31531,
 28567, 31651, 31472,
 29165, 31953, 31651,
 30890, 32138, 31179,
 29896, 32262, 31591,
 28616, 31832, 31893,
 29631, 32387, 32076,
 31237, 32387, 31531,
 29526, 32450, 32015,
 28616, 31771, 31711,
 30057, 32200, 31651,
 31120, 32387, 31591,
 29064, 32138, 31711,
 28616, 31771, 31771,
 30552, 32513, 31832,
 31005, 32704, 31832,
 28616, 31832, 31711,
 28665, 31893, 31771,
 30948, 32704, 31711,
 30607, 32513, 31531,
 28714, 31893, 31711,
 29165, 32324, 32076,
 31295, 32704, 31832,
 30057, 32576, 31953,
 28616, 31953, 31953,
 29474, 32450, 32138,
 31237, 32576, 31893,
 29578, 32387, 31953,
 28277, 31651, 31591,
 29631, 32513, 32015,
 31063, 32576, 31711,
 29267, 32324, 32138,
 28616, 32076, 32015,
 30165, 32768, 32200,
 30664, 32513, 31711,
 28863, 32138, 31953,
 28518, 31771, 31771,
 30385, 32513, 31771,
 30385, 32576, 31711,
 28567, 32015, 31953,
 28813, 32076, 31953,
 30552, 32324, 31591,
 29789, 32450, 31832,
 28277, 31711, 31591,
 29165, 32200, 31953,
 30720, 32387, 31591,
 29267, 32262, 31832,
 28182, 31771, 31832,
 29370, 32324, 32076,
 30777, 32513, 31832,
 28963, 32324, 32076,
 28325, 31953, 32015,
 30003, 32576, 32138,
 30833, 32640, 32015,
 28714, 32138, 32076,
 28277, 31832, 31893,
 30220, 32513, 31953,
 30385, 32450, 31832,
 28616, 32076, 32200,
 28616, 32076, 32200,
 30440, 32450, 31711,
 30165, 32640, 32015,
 28182, 31771, 31953,
 28567, 31771, 31711,
 30330, 32076, 31354,
 29422, 32138, 31771,
 27993, 31651, 31771,
 28913, 32138, 32015,
 30496, 32387, 31893,
 29165, 32262, 32076,
 27993, 31591, 31711,
 29370, 32324, 31953,
 30275, 32262, 31651,
 28665, 31953, 31893,
 28134, 31711, 31953,
 29631, 32324, 31953,
 30111, 32513, 32076,
 28325, 31771, 31893,
 28325, 31953, 32200,
 29896, 32387, 31893,
 29789, 32324, 31953,
 28087, 31771, 31953,
 28567, 31893, 31953,
 30165, 32387, 32015,
 29526, 32324, 32015,
 28134, 31953, 32076,
 29013, 32450, 32576,
 30440, 32450, 32076,
 28963, 32262, 32015,
 27993, 31651, 31832,
 29165, 32015, 31893,
 30440, 32450, 32015,
 28665, 32262, 32262,
 28087, 31953, 32262,
 29474, 32076, 31771,
 29896, 32138, 31591,
 28421, 32138, 32262,
 28040, 31953, 32324,
